2024-04-10 16:57:53.413 [main] INFO  stepDefinitions.BaseDefine - Bearer token is generated
2024-04-10 16:57:54.259 [main] INFO  stepDefinitions.BaseDefine - POST request performed
2024-04-10 16:57:54.260 [main] INFO  stepDefinitions.BaseDefine - Request body sent: {"firstName":"Vymfgvxq","lastName":"Fehaymwc","locationId":"4","middleName":"Irlahymx","employeeId":"9261","joinedDate":"2024-03-05"}
2024-04-10 16:57:54.260 [main] INFO  stepDefinitions.BaseDefine - Response status code is 201
2024-04-10 16:57:54.262 [main] INFO  stepDefinitions.BaseDefine - All parameters in the response body match the parameters in the request body:
2024-04-10 16:57:54.262 [main] INFO  stepDefinitions.BaseDefine - firstName: Vymfgvxq
2024-04-10 16:57:54.262 [main] INFO  stepDefinitions.BaseDefine - lastName: Fehaymwc
2024-04-10 16:57:54.262 [main] INFO  stepDefinitions.BaseDefine - locationId: 4
2024-04-10 16:57:54.262 [main] INFO  stepDefinitions.BaseDefine - middleName: Irlahymx
2024-04-10 16:57:54.262 [main] INFO  stepDefinitions.BaseDefine - employeeId: 9261
2024-04-10 16:57:54.262 [main] INFO  stepDefinitions.BaseDefine - joinedDate: 2024-03-05
