2024-04-10 15:44:56.408 [main] INFO  stepDefinitions.BaseDefine - Bearer token is generated
2024-04-10 15:44:57.355 [main] INFO  stepDefinitions.BaseDefine - POST request performed
2024-04-10 15:44:57.355 [main] INFO  stepDefinitions.BaseDefine - Request body sent: {"firstName":"Ukppxidr","lastName":"Lshkehzt","locationId":"3","middleName":"Ipadoxch","employeeId":"1387","joinedDate":"2024-04-23"}
2024-04-10 15:44:57.359 [main] INFO  stepDefinitions.BaseDefine - Response status code is 201
2024-04-10 15:44:57.361 [main] INFO  stepDefinitions.BaseDefine - All parameters in the response body match the parameters in the request body:
2024-04-10 15:44:57.361 [main] INFO  stepDefinitions.BaseDefine - firstName: Ukppxidr
2024-04-10 15:44:57.362 [main] INFO  stepDefinitions.BaseDefine - lastName: Lshkehzt
2024-04-10 15:44:57.362 [main] INFO  stepDefinitions.BaseDefine - locationId: 3
2024-04-10 15:44:57.362 [main] INFO  stepDefinitions.BaseDefine - middleName: Ipadoxch
2024-04-10 15:44:57.362 [main] INFO  stepDefinitions.BaseDefine - employeeId: 1387
2024-04-10 15:44:57.362 [main] INFO  stepDefinitions.BaseDefine - joinedDate: 2024-04-23
