2024-04-10 17:04:39.664 [main] INFO  stepDefinitions.BaseDefine - Bearer token is generated
2024-04-10 17:04:40.563 [main] INFO  stepDefinitions.BaseDefine - POST request performed
2024-04-10 17:04:40.563 [main] INFO  stepDefinitions.BaseDefine - Request body sent: {"firstName":"Qtoqxguy","lastName":"Gwdfoajz","locationId":"2","middleName":"Ambplyvm","employeeId":"3020","joinedDate":"2024-10-19"}
2024-04-10 17:04:40.564 [main] INFO  stepDefinitions.BaseDefine - Response status code is 201
2024-04-10 17:04:40.566 [main] INFO  stepDefinitions.BaseDefine - All parameters in the response body match the parameters in the request body:
2024-04-10 17:04:40.566 [main] INFO  stepDefinitions.BaseDefine - firstName: Qtoqxguy
2024-04-10 17:04:40.566 [main] INFO  stepDefinitions.BaseDefine - lastName: Gwdfoajz
2024-04-10 17:04:40.566 [main] INFO  stepDefinitions.BaseDefine - locationId: 2
2024-04-10 17:04:40.566 [main] INFO  stepDefinitions.BaseDefine - middleName: Ambplyvm
2024-04-10 17:04:40.566 [main] INFO  stepDefinitions.BaseDefine - employeeId: 3020
2024-04-10 17:04:40.566 [main] INFO  stepDefinitions.BaseDefine - joinedDate: 2024-10-19
