2024-04-10 16:29:28.837 [main] INFO  stepDefinitions.BaseDefine - Bearer token is generated
2024-04-10 16:29:29.955 [main] INFO  stepDefinitions.BaseDefine - POST request performed
2024-04-10 16:29:29.956 [main] INFO  stepDefinitions.BaseDefine - Request body sent: {"firstName":"Ofugkljn","lastName":"Fgnvhabg","locationId":"2","middleName":"Izkfjxvl","employeeId":"5062","joinedDate":"2024-05-07"}
2024-04-10 16:29:29.959 [main] INFO  stepDefinitions.BaseDefine - Response status code is 201
2024-04-10 16:29:29.963 [main] INFO  stepDefinitions.BaseDefine - All parameters in the response body match the parameters in the request body:
2024-04-10 16:29:29.964 [main] INFO  stepDefinitions.BaseDefine - firstName: Ofugkljn
2024-04-10 16:29:29.964 [main] INFO  stepDefinitions.BaseDefine - lastName: Fgnvhabg
2024-04-10 16:29:29.964 [main] INFO  stepDefinitions.BaseDefine - locationId: 2
2024-04-10 16:29:29.964 [main] INFO  stepDefinitions.BaseDefine - middleName: Izkfjxvl
2024-04-10 16:29:29.964 [main] INFO  stepDefinitions.BaseDefine - employeeId: 5062
2024-04-10 16:29:29.964 [main] INFO  stepDefinitions.BaseDefine - joinedDate: 2024-05-07
