2024-04-10 16:51:43.981 [main] INFO  stepDefinitions.BaseDefine - Bearer token is generated
2024-04-10 16:51:45.008 [main] INFO  stepDefinitions.BaseDefine - POST request performed
2024-04-10 16:51:45.008 [main] INFO  stepDefinitions.BaseDefine - Request body sent: {"firstName":"Mdybzpnr","lastName":"Vkmkpavi","locationId":"5","middleName":"Chnhncvb","employeeId":"9934","joinedDate":"2024-08-17"}
2024-04-10 16:51:45.010 [main] INFO  stepDefinitions.BaseDefine - Response status code is 201
2024-04-10 16:51:45.012 [main] INFO  stepDefinitions.BaseDefine - All parameters in the response body match the parameters in the request body:
2024-04-10 16:51:45.013 [main] INFO  stepDefinitions.BaseDefine - firstName: Mdybzpnr
2024-04-10 16:51:45.013 [main] INFO  stepDefinitions.BaseDefine - lastName: Vkmkpavi
2024-04-10 16:51:45.013 [main] INFO  stepDefinitions.BaseDefine - locationId: 5
2024-04-10 16:51:45.013 [main] INFO  stepDefinitions.BaseDefine - middleName: Chnhncvb
2024-04-10 16:51:45.013 [main] INFO  stepDefinitions.BaseDefine - employeeId: 9934
2024-04-10 16:51:45.013 [main] INFO  stepDefinitions.BaseDefine - joinedDate: 2024-08-17
