2024-04-10 15:48:59.417 [main] INFO  stepDefinitions.BaseDefine - Bearer token is generated
2024-04-10 15:49:00.365 [main] INFO  stepDefinitions.BaseDefine - POST request performed
2024-04-10 15:49:00.365 [main] INFO  stepDefinitions.BaseDefine - Request body sent: {"firstName":"Sopslyma","lastName":"Wrbyrebx","locationId":"3","middleName":"Jpuwqkop","employeeId":"8472","joinedDate":"2024-04-15"}
2024-04-10 15:49:00.368 [main] INFO  stepDefinitions.BaseDefine - Response status code is 201
2024-04-10 15:49:00.370 [main] INFO  stepDefinitions.BaseDefine - All parameters in the response body match the parameters in the request body:
2024-04-10 15:49:00.370 [main] INFO  stepDefinitions.BaseDefine - firstName: Sopslyma
2024-04-10 15:49:00.370 [main] INFO  stepDefinitions.BaseDefine - lastName: Wrbyrebx
2024-04-10 15:49:00.370 [main] INFO  stepDefinitions.BaseDefine - locationId: 3
2024-04-10 15:49:00.370 [main] INFO  stepDefinitions.BaseDefine - middleName: Jpuwqkop
2024-04-10 15:49:00.370 [main] INFO  stepDefinitions.BaseDefine - employeeId: 8472
2024-04-10 15:49:00.370 [main] INFO  stepDefinitions.BaseDefine - joinedDate: 2024-04-15
