2024-04-16 10:23:28.179 [main] INFO  stepDefinitions.BaseDefine - Bearer token is generated
2024-04-16 10:23:29.285 [main] INFO  stepDefinitions.BaseDefine - POST request performed
2024-04-16 10:23:29.285 [main] INFO  stepDefinitions.BaseDefine - Request body sent: {"firstName":"Pgfjwqej","lastName":"Hzdomkzr","locationId":"1","middleName":"Aiktsgpi","employeeId":"5675","joinedDate":"2024-07-20"}
2024-04-16 10:23:29.285 [main] INFO  stepDefinitions.BaseDefine - Response status code is 201
2024-04-16 10:23:29.285 [main] INFO  stepDefinitions.BaseDefine - All parameters in the response body match the parameters in the request body:
2024-04-16 10:23:29.285 [main] INFO  stepDefinitions.BaseDefine - firstName: Pgfjwqej
2024-04-16 10:23:29.285 [main] INFO  stepDefinitions.BaseDefine - lastName: Hzdomkzr
2024-04-16 10:23:29.285 [main] INFO  stepDefinitions.BaseDefine - locationId: 1
2024-04-16 10:23:29.285 [main] INFO  stepDefinitions.BaseDefine - middleName: Aiktsgpi
2024-04-16 10:23:29.285 [main] INFO  stepDefinitions.BaseDefine - employeeId: 5675
2024-04-16 10:23:29.285 [main] INFO  stepDefinitions.BaseDefine - joinedDate: 2024-07-20
