2024-04-15 16:24:00.409 [main] INFO  stepDefinitions.BaseDefine - Bearer token is generated
2024-04-15 16:24:01.371 [main] INFO  stepDefinitions.BaseDefine - POST request performed
2024-04-15 16:24:01.372 [main] INFO  stepDefinitions.BaseDefine - Request body sent: {"firstName":"Fgoauvou","lastName":"Kptberoo","locationId":"1","middleName":"Kwkzvfnu","employeeId":"5730","joinedDate":"2024-08-28"}
2024-04-15 16:24:01.373 [main] INFO  stepDefinitions.BaseDefine - Response status code is 201
2024-04-15 16:24:01.383 [main] INFO  stepDefinitions.BaseDefine - All parameters in the response body match the parameters in the request body:
2024-04-15 16:24:01.383 [main] INFO  stepDefinitions.BaseDefine - firstName: Fgoauvou
2024-04-15 16:24:01.383 [main] INFO  stepDefinitions.BaseDefine - lastName: Kptberoo
2024-04-15 16:24:01.383 [main] INFO  stepDefinitions.BaseDefine - locationId: 1
2024-04-15 16:24:01.383 [main] INFO  stepDefinitions.BaseDefine - middleName: Kwkzvfnu
2024-04-15 16:24:01.383 [main] INFO  stepDefinitions.BaseDefine - employeeId: 5730
2024-04-15 16:24:01.383 [main] INFO  stepDefinitions.BaseDefine - joinedDate: 2024-08-28
