2024-05-02 15:05:23.348 [main] INFO  stepDefinitions.BaseDefine - Bearer token is generated
2024-05-02 15:05:24.399 [main] INFO  stepDefinitions.BaseDefine - POST request performed successfully
2024-05-02 15:05:24.400 [main] INFO  stepDefinitions.BaseDefine - Request body sent: {"firstName":"Johnny","lastName":"Cash","locationId":"3","middleName":"Dorian","employeeId":"2473","joinedDate":"2024-07-16"}
2024-05-02 15:05:24.400 [main] INFO  stepDefinitions.BaseDefine - Response status code is 201
2024-05-02 15:05:24.416 [main] INFO  stepDefinitions.BaseDefine - All parameters in the response body match the parameters in the request body:
2024-05-02 15:05:24.416 [main] INFO  stepDefinitions.BaseDefine - firstName: Johnny
2024-05-02 15:05:24.416 [main] INFO  stepDefinitions.BaseDefine - lastName: Cash
2024-05-02 15:05:24.416 [main] INFO  stepDefinitions.BaseDefine - locationId: 3
2024-05-02 15:05:24.416 [main] INFO  stepDefinitions.BaseDefine - middleName: Dorian
2024-05-02 15:05:24.416 [main] INFO  stepDefinitions.BaseDefine - employeeId: 2473
2024-05-02 15:05:24.416 [main] INFO  stepDefinitions.BaseDefine - joinedDate: 2024-07-16
