2024-04-10 15:49:29.236 [main] INFO  stepDefinitions.BaseDefine - Bearer token is generated
2024-04-10 15:49:30.174 [main] INFO  stepDefinitions.BaseDefine - POST request performed
2024-04-10 15:49:30.174 [main] INFO  stepDefinitions.BaseDefine - Request body sent: {"firstName":"Bugleejv","lastName":"Ocwxieua","locationId":"5","middleName":"Iuxjnifo","employeeId":"7329","joinedDate":"2024-07-15"}
2024-04-10 15:49:30.176 [main] INFO  stepDefinitions.BaseDefine - Response status code is 201
2024-04-10 15:49:30.178 [main] INFO  stepDefinitions.BaseDefine - All parameters in the response body match the parameters in the request body:
2024-04-10 15:49:30.178 [main] INFO  stepDefinitions.BaseDefine - firstName: Bugleejv
2024-04-10 15:49:30.178 [main] INFO  stepDefinitions.BaseDefine - lastName: Ocwxieua
2024-04-10 15:49:30.178 [main] INFO  stepDefinitions.BaseDefine - locationId: 5
2024-04-10 15:49:30.178 [main] INFO  stepDefinitions.BaseDefine - middleName: Iuxjnifo
2024-04-10 15:49:30.178 [main] INFO  stepDefinitions.BaseDefine - employeeId: 7329
2024-04-10 15:49:30.178 [main] INFO  stepDefinitions.BaseDefine - joinedDate: 2024-07-15
