2024-04-22 16:49:15.149 [main] INFO  stepDefinitions.BaseDefine - Bearer token is generated
2024-04-22 16:49:16.087 [main] INFO  stepDefinitions.BaseDefine - POST request performed successfully
2024-04-22 16:49:16.087 [main] INFO  stepDefinitions.BaseDefine - Request body sent: {"firstName":"Johnny","lastName":"Cash","locationId":"1","middleName":"Dorian","employeeId":"2584","joinedDate":"2024-03-21"}
2024-04-22 16:49:16.102 [main] INFO  stepDefinitions.BaseDefine - Response status code is 201
2024-04-22 16:49:16.112 [main] INFO  stepDefinitions.BaseDefine - All parameters in the response body match the parameters in the request body:
2024-04-22 16:49:16.112 [main] INFO  stepDefinitions.BaseDefine - firstName: Johnny
2024-04-22 16:49:16.112 [main] INFO  stepDefinitions.BaseDefine - lastName: Cash
2024-04-22 16:49:16.112 [main] INFO  stepDefinitions.BaseDefine - locationId: 1
2024-04-22 16:49:16.112 [main] INFO  stepDefinitions.BaseDefine - middleName: Dorian
2024-04-22 16:49:16.112 [main] INFO  stepDefinitions.BaseDefine - employeeId: 2584
2024-04-22 16:49:16.112 [main] INFO  stepDefinitions.BaseDefine - joinedDate: 2024-03-21
