2024-04-16 12:16:42.315 [main] INFO  stepDefinitions.BaseDefine - Bearer token is generated
2024-04-16 12:16:43.727 [main] INFO  stepDefinitions.BaseDefine - POST request performed
2024-04-16 12:16:43.728 [main] INFO  stepDefinitions.BaseDefine - Request body sent: {"firstName":"Blsjjeer","lastName":"Olrqqhnn","locationId":"2","middleName":"Jqjcqsji","employeeId":"8041","joinedDate":"2024-10-06"}
2024-04-16 12:16:43.731 [main] INFO  stepDefinitions.BaseDefine - Response status code is 201
2024-04-16 12:16:43.740 [main] INFO  stepDefinitions.BaseDefine - All parameters in the response body match the parameters in the request body:
2024-04-16 12:16:43.740 [main] INFO  stepDefinitions.BaseDefine - firstName: Blsjjeer
2024-04-16 12:16:43.741 [main] INFO  stepDefinitions.BaseDefine - lastName: Olrqqhnn
2024-04-16 12:16:43.741 [main] INFO  stepDefinitions.BaseDefine - locationId: 2
2024-04-16 12:16:43.741 [main] INFO  stepDefinitions.BaseDefine - middleName: Jqjcqsji
2024-04-16 12:16:43.741 [main] INFO  stepDefinitions.BaseDefine - employeeId: 8041
2024-04-16 12:16:43.741 [main] INFO  stepDefinitions.BaseDefine - joinedDate: 2024-10-06
