2024-04-15 16:24:37.010 [main] INFO  stepDefinitions.BaseDefine - Bearer token is generated
2024-04-15 16:24:37.904 [main] INFO  stepDefinitions.BaseDefine - POST request performed
2024-04-15 16:24:37.904 [main] INFO  stepDefinitions.BaseDefine - Request body sent: {"firstName":"Itqvpwaq","lastName":"Qajcndfz","locationId":"1","middleName":"Yxbtmpqm","employeeId":"5803","joinedDate":"2024-01-20"}
2024-04-15 16:24:37.905 [main] INFO  stepDefinitions.BaseDefine - Response status code is 201
2024-04-15 16:24:37.907 [main] INFO  stepDefinitions.BaseDefine - All parameters in the response body match the parameters in the request body:
2024-04-15 16:24:37.907 [main] INFO  stepDefinitions.BaseDefine - firstName: Itqvpwaq
2024-04-15 16:24:37.907 [main] INFO  stepDefinitions.BaseDefine - lastName: Qajcndfz
2024-04-15 16:24:37.907 [main] INFO  stepDefinitions.BaseDefine - locationId: 1
2024-04-15 16:24:37.907 [main] INFO  stepDefinitions.BaseDefine - middleName: Yxbtmpqm
2024-04-15 16:24:37.907 [main] INFO  stepDefinitions.BaseDefine - employeeId: 5803
2024-04-15 16:24:37.907 [main] INFO  stepDefinitions.BaseDefine - joinedDate: 2024-01-20
