2024-04-10 15:41:19.748 [main] INFO  stepDefinitions.BaseDefine - Bearer token is generated
2024-04-10 15:41:20.671 [main] INFO  stepDefinitions.BaseDefine - POST request performed
2024-04-10 15:41:20.671 [main] INFO  stepDefinitions.BaseDefine - Request body sent: {"firstName":"Ezdqizml","lastName":"Vbbfafhi","locationId":"1","middleName":"Bhuxllyy","employeeId":"7886","joinedDate":"2024-11-21"}
2024-04-10 15:41:20.674 [main] INFO  stepDefinitions.BaseDefine - Response status code is 201
2024-04-10 15:41:20.676 [main] INFO  stepDefinitions.BaseDefine - All parameters in the response body match the parameters in the request body:
2024-04-10 15:41:20.676 [main] INFO  stepDefinitions.BaseDefine - firstName: Ezdqizml
2024-04-10 15:41:20.676 [main] INFO  stepDefinitions.BaseDefine - lastName: Vbbfafhi
2024-04-10 15:41:20.676 [main] INFO  stepDefinitions.BaseDefine - locationId: 1
2024-04-10 15:41:20.676 [main] INFO  stepDefinitions.BaseDefine - middleName: Bhuxllyy
2024-04-10 15:41:20.676 [main] INFO  stepDefinitions.BaseDefine - employeeId: 7886
2024-04-10 15:41:20.676 [main] INFO  stepDefinitions.BaseDefine - joinedDate: 2024-11-21
