2024-04-10 16:41:41.374 [main] INFO  stepDefinitions.BaseDefine - Bearer token is generated
2024-04-10 16:41:42.339 [main] INFO  stepDefinitions.BaseDefine - POST request performed
2024-04-10 16:41:42.340 [main] INFO  stepDefinitions.BaseDefine - Request body sent: {"firstName":"Ldkbmrvt","lastName":"Oxtbdeoi","locationId":"2","middleName":"Jfhfgzzj","employeeId":"1551","joinedDate":"2024-01-14"}
2024-04-10 16:41:42.344 [main] INFO  stepDefinitions.BaseDefine - Response status code is 201
2024-04-10 16:41:42.353 [main] INFO  stepDefinitions.BaseDefine - All parameters in the response body match the parameters in the request body:
2024-04-10 16:41:42.353 [main] INFO  stepDefinitions.BaseDefine - firstName: Ldkbmrvt
2024-04-10 16:41:42.353 [main] INFO  stepDefinitions.BaseDefine - lastName: Oxtbdeoi
2024-04-10 16:41:42.353 [main] INFO  stepDefinitions.BaseDefine - locationId: 2
2024-04-10 16:41:42.354 [main] INFO  stepDefinitions.BaseDefine - middleName: Jfhfgzzj
2024-04-10 16:41:42.354 [main] INFO  stepDefinitions.BaseDefine - employeeId: 1551
2024-04-10 16:41:42.354 [main] INFO  stepDefinitions.BaseDefine - joinedDate: 2024-01-14
