2024-04-10 16:37:22.900 [main] INFO  stepDefinitions.BaseDefine - Bearer token is generated
2024-04-10 16:37:23.895 [main] INFO  stepDefinitions.BaseDefine - POST request performed
2024-04-10 16:37:23.896 [main] INFO  stepDefinitions.BaseDefine - Request body sent: {"firstName":"Keugmyca","lastName":"Xllrwwnd","locationId":"1","middleName":"Ekwsnwpo","employeeId":"7724","joinedDate":"2024-08-17"}
2024-04-10 16:37:23.898 [main] INFO  stepDefinitions.BaseDefine - Response status code is 201
2024-04-10 16:37:23.907 [main] INFO  stepDefinitions.BaseDefine - All parameters in the response body match the parameters in the request body:
2024-04-10 16:37:23.908 [main] INFO  stepDefinitions.BaseDefine - firstName: Keugmyca
2024-04-10 16:37:23.908 [main] INFO  stepDefinitions.BaseDefine - lastName: Xllrwwnd
2024-04-10 16:37:23.908 [main] INFO  stepDefinitions.BaseDefine - locationId: 1
2024-04-10 16:37:23.908 [main] INFO  stepDefinitions.BaseDefine - middleName: Ekwsnwpo
2024-04-10 16:37:23.908 [main] INFO  stepDefinitions.BaseDefine - employeeId: 7724
2024-04-10 16:37:23.908 [main] INFO  stepDefinitions.BaseDefine - joinedDate: 2024-08-17
