2024-04-10 15:56:21.379 [main] INFO  stepDefinitions.BaseDefine - Bearer token is generated
2024-04-10 15:56:22.427 [main] INFO  stepDefinitions.BaseDefine - POST request performed
2024-04-10 15:56:22.427 [main] INFO  stepDefinitions.BaseDefine - Request body sent: {"firstName":"Ugcoiimr","lastName":"Kvuaulqx","locationId":"3","middleName":"Efpwlbwe","employeeId":"7037","joinedDate":"2024-01-18"}
2024-04-10 15:56:22.429 [main] INFO  stepDefinitions.BaseDefine - Response status code is 201
2024-04-10 15:56:22.431 [main] INFO  stepDefinitions.BaseDefine - All parameters in the response body match the parameters in the request body:
2024-04-10 15:56:22.431 [main] INFO  stepDefinitions.BaseDefine - firstName: Ugcoiimr
2024-04-10 15:56:22.431 [main] INFO  stepDefinitions.BaseDefine - lastName: Kvuaulqx
2024-04-10 15:56:22.431 [main] INFO  stepDefinitions.BaseDefine - locationId: 3
2024-04-10 15:56:22.431 [main] INFO  stepDefinitions.BaseDefine - middleName: Efpwlbwe
2024-04-10 15:56:22.431 [main] INFO  stepDefinitions.BaseDefine - employeeId: 7037
2024-04-10 15:56:22.431 [main] INFO  stepDefinitions.BaseDefine - joinedDate: 2024-01-18
