2024-04-10 16:54:37.788 [main] INFO  stepDefinitions.BaseDefine - Bearer token is generated
2024-04-10 16:54:38.669 [main] INFO  stepDefinitions.BaseDefine - POST request performed
2024-04-10 16:54:38.669 [main] INFO  stepDefinitions.BaseDefine - Request body sent: {"firstName":"Pikpkykx","lastName":"Jhiqfuci","locationId":"1","middleName":"Cdcbhcwq","employeeId":"2595","joinedDate":"2024-01-15"}
2024-04-10 16:54:38.670 [main] INFO  stepDefinitions.BaseDefine - Response status code is 201
2024-04-10 16:54:38.671 [main] INFO  stepDefinitions.BaseDefine - All parameters in the response body match the parameters in the request body:
2024-04-10 16:54:38.672 [main] INFO  stepDefinitions.BaseDefine - firstName: Pikpkykx
2024-04-10 16:54:38.672 [main] INFO  stepDefinitions.BaseDefine - lastName: Jhiqfuci
2024-04-10 16:54:38.672 [main] INFO  stepDefinitions.BaseDefine - locationId: 1
2024-04-10 16:54:38.672 [main] INFO  stepDefinitions.BaseDefine - middleName: Cdcbhcwq
2024-04-10 16:54:38.672 [main] INFO  stepDefinitions.BaseDefine - employeeId: 2595
2024-04-10 16:54:38.672 [main] INFO  stepDefinitions.BaseDefine - joinedDate: 2024-01-15
