2024-04-25 11:59:56.964 [main] INFO  stepDefinitions.BaseDefine - Bearer token is generated
2024-04-25 11:59:58.123 [main] INFO  stepDefinitions.BaseDefine - POST request performed successfully
2024-04-25 11:59:58.123 [main] INFO  stepDefinitions.BaseDefine - Request body sent: {"firstName":"Johnny","lastName":"Cash","locationId":"1","middleName":"Dorian","employeeId":"3096","joinedDate":"2024-02-01"}
2024-04-25 11:59:58.123 [main] INFO  stepDefinitions.BaseDefine - Response status code is 201
2024-04-25 11:59:58.134 [main] INFO  stepDefinitions.BaseDefine - All parameters in the response body match the parameters in the request body:
2024-04-25 11:59:58.134 [main] INFO  stepDefinitions.BaseDefine - firstName: Johnny
2024-04-25 11:59:58.134 [main] INFO  stepDefinitions.BaseDefine - lastName: Cash
2024-04-25 11:59:58.134 [main] INFO  stepDefinitions.BaseDefine - locationId: 1
2024-04-25 11:59:58.134 [main] INFO  stepDefinitions.BaseDefine - middleName: Dorian
2024-04-25 11:59:58.134 [main] INFO  stepDefinitions.BaseDefine - employeeId: 3096
2024-04-25 11:59:58.134 [main] INFO  stepDefinitions.BaseDefine - joinedDate: 2024-02-01
