2024-04-24 16:50:28.436 [main] INFO  stepDefinitions.BaseDefine - Bearer token is generated
2024-04-24 16:50:29.467 [main] INFO  stepDefinitions.BaseDefine - POST request performed successfully
2024-04-24 16:50:29.467 [main] INFO  stepDefinitions.BaseDefine - Request body sent: {"firstName":"Johnny","lastName":"Cash","locationId":"1","middleName":"Dorian","employeeId":"1713","joinedDate":"2024-07-02"}
2024-04-24 16:50:29.467 [main] INFO  stepDefinitions.BaseDefine - Response status code is 201
2024-04-24 16:50:29.467 [main] INFO  stepDefinitions.BaseDefine - All parameters in the response body match the parameters in the request body:
2024-04-24 16:50:29.467 [main] INFO  stepDefinitions.BaseDefine - firstName: Johnny
2024-04-24 16:50:29.467 [main] INFO  stepDefinitions.BaseDefine - lastName: Cash
2024-04-24 16:50:29.467 [main] INFO  stepDefinitions.BaseDefine - locationId: 1
2024-04-24 16:50:29.467 [main] INFO  stepDefinitions.BaseDefine - middleName: Dorian
2024-04-24 16:50:29.467 [main] INFO  stepDefinitions.BaseDefine - employeeId: 1713
2024-04-24 16:50:29.467 [main] INFO  stepDefinitions.BaseDefine - joinedDate: 2024-07-02
